household_key,pred_purchases_6m,clv_6m,churn_prob,frequency,recency,monetary,total_net_revenue
1942,39.1025348,787.382086,0.9533704596,151,25,3135.06,3135.06
2229,15.47525437,651.6016331,0.01118606838,56,25,2415.49,2415.49
2243,12.16703087,1087.905891,0.01275868638,44,25,4019.71,4019.71
1766,10.39650043,123.906713,0.03258109656,38,25,460.68,460.68
460,30.08389739,196.8324002,0.008369929373,113,25,760.45,760.45
801,7.742158499,434.8777606,0.9880719958,29,25,1652.07,1652.07
1684,13.2348777,375.1461023,0.00373970346,50,25,1449.58,1449.58
2321,4.630194203,86.61822039,0.004082733813,18,25,336.09,336.09
785,26.19137377,516.3818559,0.9940348687,103,25,2089.8,2089.8
628,4.463386808,284.4536953,0.9984107338,18,25,1147.99,1147.99
1600,16.34274943,227.9024201,0.9686093477,64,26,914.7,914.7
484,33.49325779,703.1919124,0.01373079448,137,26,2964.51,2964.51
2386,14.62949463,296.4580035,0.02484037398,51,26,1056.96,1056.96
1728,5.915823782,424.8441859,0.03125898196,21,26,1517.18,1517.18
384,22.3987074,1066.504161,0.006186068376,80,26,3914.84,3914.84
1273,4.760964483,74.59893133,0.004082733813,17,26,265.04,265.04
1165,15.50579176,375.4252713,0.005583016254,57,26,1413.52,1413.52
1268,19.21847332,794.4862601,0.9642576381,71,26,3013.56,3013.56
1949,14.64969634,439.6044469,0.9935724087,54,26,1658.96,1658.96
1044,5.207061051,109.9991785,0.8740827338,20,26,423.51,423.51
81,36.89410193,1307.144977,0.007354771784,152,26,5553.7,5553.7
776,18.41909777,785.6794071,0.01653933273,72,26,3153.7,3153.7
1827,10.10868567,165.0320264,0.02812696746,41,26,682.23,682.23
1213,11.60827005,153.8444625,0.9992147938,46,27,622.22,622.22
1438,10.05148681,511.8986787,0.008051409948,41,27,2130.77,2130.77
744,35.86483846,1041.080191,0.004671983535,158,27,4730.31,4730.31
1842,5.417163698,257.9061499,0.02711207143,19,27,906.65,906.65
155,14.74391463,582.0358453,0.02020149025,52,27,2101.05,2101.05
396,29.50586371,479.7931417,0.004036339115,107,27,1790.73,1790.73
2130,26.83303562,1629.029951,0.009688761619,97,27,6060.39,6060.39
92,15.92720116,433.01982,0.005062354589,57,27,1587.38,1587.38
284,5.814511557,147.462425,0.009311706488,21,27,534.98,534.98
781,15.68567874,447.427071,0.01235927188,57,27,1665.51,1665.51
1407,9.600153881,435.4977255,0.02830299331,35,27,1615.94,1615.94
2005,13.75261463,371.9784747,0.005583016254,52,27,1439.19,1439.19
2237,37.27447034,1130.301247,0.003819941102,158,27,4941.52,4941.52
1153,17.06596309,292.6591826,0.0533824447,65,27,1142.86,1142.86
1013,9.087455008,241.723702,0.9988379256,35,27,947.03,947.03
769,11.8572035,389.396197,0.03125898196,46,27,1543.63,1543.63
374,37.29468661,1574.673632,0.004671983535,163,27,7099.56,7099.56
759,10.30406833,313.9010666,0.008572071613,41,27,1274.09,1274.09
528,4.127352399,91.09013321,0.02709381789,17,27,373.83,373.83
1465,13.98178712,253.2811831,0.005062354589,56,28,1038.52,1038.52
505,5.138037248,54.07795373,0.01407734576,18,28,188.54,188.54
1249,6.500272646,137.9923288,0.009311706488,23,28,491.62,491.62
1696,17.21773728,714.9373799,0.02138785271,62,28,2640.01,2640.01
1810,4.181590204,61.27345064,0.007713687986,266,28,4025.59,4025.59
2043,17.98420351,442.6337286,0.005429642134,65,28,1640.79,1640.79
2273,14.39834496,431.5363082,0.007846694464,52,28,1594.87,1594.87
1514,15.77162504,636.0689005,0.02590232312,57,28,2355.31,2355.31
1918,18.81643003,800.3150712,0.0585855652,69,28,3012.49,3012.49
2349,19.53156326,554.9511375,0.0105674507,72,28,2100.28,2100.28
249,34.26655692,685.1568183,0.01462860472,137,28,2823.23,2823.23
1660,16.25143019,522.9187303,0.01157931636,62,28,2045.5,2045.5
552,11.43720031,582.5924694,0.9826439998,44,28,2289.47,2289.47
248,14.32894642,1481.23015,0.9538199411,57,28,6039.01,6039.01
1554,11.44480238,239.3955097,0.9939162735,46,28,982.76,982.76
2257,18.32486125,188.4938379,0.006322651129,75,28,791.54,791.54
2397,8.508415046,261.6610954,0.985905686,35,28,1095.1,1095.1
2411,19.34453634,500.4219328,0.9410918938,76,29,2019.25,2019.25
1100,7.41972898,88.68083591,0.004082733813,26,29,313.41,313.41
3,13.38348967,738.9403954,0.9740849067,47,29,2653.21,2653.21
1560,12.47446326,335.7218211,0.9875716418,44,29,1209.04,1209.04
793,28.40922628,472.607478,0.009827097142,107,29,1832.03,1832.03
1231,15.03043649,512.3029458,0.01432271971,55,29,1919.79,1919.79
2101,2.66127592,115.3462507,0.0183944403,10,29,420.02,420.02
1415,7.212972135,71.87258486,0.01757808587,27,29,271.41,271.41
995,5.596856535,322.5196369,0.04317978684,21,29,1217.16,1217.16
945,13.53687154,499.6103487,0.02639953749,51,29,1926.03,1926.03
1683,21.32066337,463.302683,0.01433967456,86,29,1920.99,1920.99
1377,8.495381809,188.872331,0.01904487546,35,29,791.34,791.34
446,8.520809169,59.64267661,0.9881257939,30,30,212.05,212.05
2287,9.270746652,230.471344,0.04330133464,33,30,833.51,833.51
1605,15.8934066,198.6786585,0.01412901973,57,30,729.22,729.22
2219,6.223776272,289.1596404,0.020305172,23,30,1077.42,1077.42
2181,14.68986303,801.6481667,0.03024105681,55,30,3074.45,3074.45
802,15.34176564,546.6152262,0.005429642134,59,30,2154.43,2154.43
1747,23.33461888,756.1715836,0.01220972497,92,30,3066.6,3066.6
1853,9.234576073,69.37890377,0.0127821114,36,30,274.39,274.39
1389,11.67243638,792.5278855,0.9512131795,41,31,2841.16,2841.16
1072,17.20739583,741.3988812,0.009333339468,61,31,2694.8,2694.8
1625,11.61758502,129.2822268,0.9993407886,41,31,464.64,464.64
561,6.742296471,359.988867,0.01231177507,26,31,1404.36,1404.36
1667,10.83007896,225.2719714,0.03318483029,42,31,891.1,891.1
1329,7.9610443,390.974851,0.03318483029,31,31,1546.05,1546.05
385,10.40923174,728.7773492,0.03625898196,41,31,2929.72,2929.72
1132,14.49488471,505.7358671,0.009690007259,58,31,2073.62,2073.62
1798,11.67500798,669.1531951,0.0265248184,42,32,2457.51,2457.51
1413,7.452593496,94.04826134,0.02209381789,27,32,344.06,344.06
1086,8.071031855,315.1722263,0.0262131795,30,32,1188.61,1188.61
2387,8.461080473,218.4538333,0.01780590384,33,32,865.7,865.7
168,9.210919455,125.0295874,0.01874376325,37,32,510.8,510.8
953,27.14998671,581.2977595,0.02699756175,114,32,2513.39,2513.39
260,8.527720613,119.3017814,0.0333944403,30,33,425.04,425.04
1678,22.16827018,713.8875145,0.008619568419,79,33,2613.99,2613.99
1400,3.091209799,82.03301201,0.9490364868,11,33,284.31,284.31
148,15.12020758,330.779093,0.005062354589,55,33,1231.76,1231.76
126,8.490318233,230.3230096,0.9781848303,31,33,853.45,853.45
2132,11.01063397,148.1186395,0.009311706488,42,33,575.87,575.87
999,13.86822409,511.5823972,0.01342971072,57,33,2154.25,2154.25
2450,22.63070967,802.1500109,0.006322651129,84,34,3060.77,3060.77
873,27.70781386,699.6197067,0.9661678082,113,34,2938.15,2938.15
408,15.08195425,649.624761,0.009634358617,56,34,2470.99,2470.99
257,28.34355969,606.6889696,0.9125811202,122,34,2689.99,2689.99
922,28.02117931,604.5902993,0.007713687986,150,34,3336.99,3336.99
436,8.590406677,654.0754923,0.9757851835,30,35,2318.74,2318.74
2361,24.36614255,1191.996819,0.01367742291,90,35,4528.71,4528.71
262,1.87198164,39.94417772,0.007577105233,218,35,4802.27,4802.27
794,8.880180194,478.5706149,0.008051409948,32,35,1752.5,1752.5
60,2.17980794,114.8925698,0.004082733813,8,35,400.94,400.94
1055,20.68890232,299.5041862,0.00811643538,81,35,1204.41,1204.41
